,titles,offers,locations,titles_clean
120,Radnik za poslove plakatiranja i održavanja (m),"Ako je Vizija ustvari pogled – jedan letimičan pogled u budućnost koji se temelji na planiranju, onda je Misija naše kompanije da razvija vlastite potencijale na tom putu.
Biti kreativan je prvi biser u ogrlici koju s ponosom nosimo sve ove godine i uljepšavamo je svakodnevno novim biserom koji se uzgaja u specijalnoj školjci. Pored kreativnosti, tu je biser vjere, pa marljivosti i ustrajnosti, slijede ih i biseri želje, nade i strpljenja – a posebno svjetluca biser ljubavi koji ovu misiju pokreće i hrani.
Zapošljavamo: Radnik za poslove plakatiranja i održavanja (m)
Lokacija: Sarajevo (2 izvršioca) 
Opis posla: 
Predviđen rad na visini (plakatiranje billboarda)
održavanje opreme
priprema plakata
Vaše biografije možete poslati putem opcije: ""Prijavite se na oglas"".","Mjesto rada: Sarajevo
Zaposlenje: Puno radno vrijeme
Broj izvršilaca: 2
Moguć rad od kuće (remote): Ne
Oglas objavljen: 07.06.2024. u 14:31
Oglas ističe: 08.07.2024. u 23:59",Radnik za poslove plakatiranja i održavanja (m)
121,Diplomirani ekonomista - pripravnik (m/ž),"Domovent d.o.o. je građevinska firma koja uspješno posluje na području Bosne i Hercegovine i SR Njemačke. Naša usluga odnosi se na izgradnju objekata visokogradnje koja uključuje planiranje i konstruisanje objekta.
Zapošljavamo na poziciji:
Diplomirani ekonomista - pripravnik (m/ž)
Obavezni uslovi:
VSS, diplomirani ekonomista
Bez radnog iskustva-pripravnik
Osoba treba da je prijavljena na evidenciju nezaposlenih Službe za zapošljavanje KS (prednost imaju kandidati koji su obuhvaćeni programom sufinansiranja zapošljavanja)
Kontakt telefon: 062 958 658
Vaše prijave možete poslati putem opcije: ""Prijavite se na oglas"".","Mjesto rada: Sarajevo
Zaposlenje: Puno radno vrijeme
Broj izvršilaca: 1
Moguć rad od kuće (remote): Ne
Oglas objavljen: 07.06.2024. u 12:20
Oglas ističe: 07.07.2024. u 23:59",Diplomirani ekonomista - pripravnik
122,Komercijalista (m/ž),"„CROM BH“ d.o.o. Sarajevo vodeći je distributer i ovlašteni servis auto servisne opreme i profesionalnih ručnih alata u Bosni i Hercegovini. 
Kao generalni zastupnik i ovlašteni servis alata njemačkog proizvođača „Metabo“, „Crom BH“ je bosansko-hercegovačkom tržištu približio širok raspon inovativnih, kvalitetnih i pouzdanih uređaja, s naglaskom na metaluršku i građevinsku industriju.
Kada je riječ o nabavi opreme za radionice i servise, preduzetnici i majstori iz različitih grana industrije godinama se oslanjaju na firmu „Crom BH“.
Širimo naš tim posvećenih profesionalaca i pozivamo te da nam se pridružiš na poziciji: 
Komercijalista – 2 izvršioca, Sarajevo 
Tvoji glavni zadaci su:
Obilazak postojećih i otvaranje novih kupaca na tržištu BiH
Prodaja proizvoda iz asortimana Crom BH
Ispunjavanje planova prodaje i ostvarenje ciljeva
Briga o naplati
Sistematična briga o kupcima
Praćenja i analiza rada konukrencije
Pokretanje inicijativa i davanje prijedloga za unaprijeđenje 
Idealni kandidati ispunjavaju sljedeće uslove:
SSS ekonomskog ili tehničkog usmjerenja 
Posjedovanje vozačke dozvole B kategorije (aktivan vozač)
Poznavanje rada na računaru – Office paket
Poznavanje engleskog jezika je prednost
Organizacijske, komunikacijske i prezentacijske vještine 
Radno iskustvo na poslovima prodaje nije obavezno, ali je prednost
Mi ćemo Vam osigurati:
Ugovor o radu na neodređeno vrijeme uz obavezan probni rad od 6 mjeseci
Službeno vozilo
Siguran i dobro plaćen posao
Stimulativni dio plate
Mogućnost napredovanja u karijeri
Profesionalno usavršavanje kroz treninge i obuke
Od Vas očekujemo da učite, vrijedno radite, doprinosite svojim idejama i prijedlozima, da imate svježe i kreativno razmišljanje, te da razvijate Vaše najbolje osobine i talente.
Osigurati ćemo vam da radite posao u kojem uživate, u okruženju koje Vas podržava u svemu. 
Oglas ostaje otvoren 30 dana.
Kontaktirati ćemo samo one kandidate koji ispunjavaju navedene uslove.
 Vaše prijave možete poslati putem opcije ""Prijavite se na oglas"".","Mjesto rada: Sarajevo
Zaposlenje: Puno radno vrijeme
Broj izvršilaca: 2
Moguć rad od kuće (remote): Ne
Oglas objavljen: 07.06.2024. u 11:39
Oglas ističe: 07.07.2024. u 11:39",Komercijalista
123,Pomoćni radnik u proizvodnji (m/ž),"DS Smith je vodeći pružatelj održivih rješenja za pakiranje, proizvoda od papira i usluga recikliranja diljem svijeta. Tijekom proteklih 80 godina naša je organizacija dramatično narasla, kao i naše usluge i područja stručnosti.
Opis poslova:
Postupanje u skladu sa „Pravilnikom o Zaštiti na radu“ i u skladu sa „Kućnim pravilima“ utvrđenih aktom Društva
Odgovoran je za pravilno ulaganje elemenata u stroj i odlaganje gotovih proizvoda prema načinu paletiziranja propisanom u nalogu proizvodnje
Odgovoran je za urednost palete i pravilno stavljanje etikete na paletu,
Odgovoran je za čistoću stroja na kojem radi i urednost radne okoline,
Odgovara za obavljanje i provedbu poslova i radnih zadataka iz djelokruga svoga opisa poslova,
Prema potrebi obavlja ostale poslove prema nalogu Voditelja proizvodnje, u okviru stručnosti i radnog iskustva, iz djelokruga rada utvrđenim Ugovorom o radu
Vaše prijave možete poslati putem opcije: ""Prijavite se na oglas"".","Mjesto rada: Sarajevo
Zaposlenje: Puno radno vrijeme
Broj izvršilaca: 2
Moguć rad od kuće (remote): Ne
Oglas objavljen: 07.06.2024. u 09:58
Oglas ističe: 08.07.2024. u 09:58",Pomoćni radnik u proizvodnji
124,Prodavač (m/ž),,"Mjesto rada: Sarajevo
Zaposlenje: Puno radno vrijeme
Broj izvršilaca: 10
Moguć rad od kuće (remote): Ne
Oglas objavljen: 07.06.2024. u 09:39
Oglas ističe: 07.07.2024. u 23:59",Prodavač
125,Monter suhe gradnje-Knauf (m/ž),"Opis Posla: Monter Suhe Gradnje (Knauf)
  Opis radnog mjesta:
Tražimo motivisanog i iskusnog montera suhe gradnje (knauf) koji će se pridružiti našem timu
Kandidat će biti odgovoran za instalaciju sistema suhe gradnje, uključujući postavljanje gips-karton ploča, stropova i zidova, kao i rad s Knauf sistemima.
  Odgovornosti:
Postavljanje i montaža Knauf sistema prema projektantskim planovima.
Instalacija gips-karton ploča na zidove i plafone
Rad s metalnim profi limovima, visećim stropovima i drugim materijalima suhe gradnje
Izvođenje preciznih merenja i obezbeđivanje tačne postavke materijala
Pružanje podrške u izradi kvalitetnih spojeva i završnih radova
Poštovanje standarda bezbjednosti na radu i pridržavanje uputstava za montažu.
  Kvalifikacije:
Iskustvo u montaži suhe gradnje, posebno sa Knauf sistemima
Razumjevanje građevinskih crteža i tehničkih specifikacija
Sposobnost rada sa različitim alatima i opremom suhe gradnje
Samostalnost i sposobnost rada u timu
Pažnja prema detaljima i sposobnost rješavanja problema
Posvećenost sigurnom radu na gradilištu.
  Ponuda:
Stalno zaposlenje sa konkurentnom platom
Mogućnost profesionalnog usavršavanja i napredovanja
Rad u dinamičnom timu sa pozitivnom radnom atmosferom
Beneficije kao što su osiguranje, naknade za rad na terenu i druge.
  Ako imate potrebne kvalifikacije i želju da se pridružite našem timu, molimo vas da pošaljete svoj životopis putem opcije: ""Prijavite se na oglas""ili se javite na broj +387 62 318 471 (Adis).
 ","Mjesto rada: Sarajevo
Zaposlenje: Puno radno vrijeme
Broj izvršilaca: 20
Moguć rad od kuće (remote): Ne
Oglas objavljen: 07.06.2024. u 07:57
Oglas ističe: 08.07.2024. u 23:59",Monter suhe gradnje-Knauf
126,Conseiller client (m/f/n) pour AXA - Francaise,"Si les clients parlent de ton service de tes compétences et de ta sympathie encore longtemps après avoir parlé avec toi, alors le TELUS International est l’endroit parfait pour toi.
TELUS International est à la recherche de conseillers à la clientèle enthousiastes qui souhaitent offrir un excellent service à la clientèle.
Ce que nous te proposons:
Le salaire fixe est de 1800 BAM net et possibilité très attractive d’obtenir un bonus
Contrat de travail à durée indéterminée
Les heures de travail sont du lundi au vendredi avec les différents emploie du temps possible entre 07h30-18h00 (temps plein)
Bonus de bienvenue 500 BAM brut
Bonus pour les recommandations d'employés de 700 BAM brut
Superbe bureau avec des postes de travail modernes
Équipe hautement motivée et engagée avec une hiérarchie plane et une culture du tutoiement
Possibilité de gravir les échelons dans notre entreprise internationale
Aperçu de tes tâches:
Prise téléphonique de déclaration de dégâts (nouvelles déclarations et déclarations tardives) et vérification de la couverture d‘assurance
Implémentation professionnelle des informations et management de plaintes professionnel
Assurance d’une prise en charge et de conseils optimale des garages et ateliers nous contactant
Saisie de données pertinentes et traitement des missions dans les systèmes du client
Maintenance des données de la base client
Fidélisation des clients via une gestion de la conversation optimale
Nos attentes:
Talent de communication avec de très bonnes connaissances écrites et orales de la langue française
Plaisir à la prise en charge de clients et démarches empathiques au traitement de demandes variées des clients
Bonnes connaissances des logiciels courants et applications web
Travail ciblé vers l’obtention de solutions et compétences argumentatives
Flexibilité, fiabilité et esprit d’équipe
Devient membre de notre équipe et postule maintenant!
Nous avons digitalisé tous nos processus de recrutement, et proposons actuellement des entretiens d’embauche virtuels.
Notre équipe de recrutement est toujours disponible pour répondre à tes questions au +387 33 876 543 et attend ta candidature avec la date à laquelle tu pourrais commencer.
*Vous pouvez postuler pour cette position uniquement si vous résidez en Bosnie-Herzégovine.
Equal Opportunity Employer
At TELUS International, we are proud to be an equal opportunity employer and are committed to creating a diverse and inclusive workplace. All aspects of employment, including the decision to hire and promote, are based on applicants’ qualifications, merits, competence and performance without regard to any characteristic related to diversity.
À propos de nous: Depuis notre création en 1998, l'excellence de la relation client est notre passion – En 2020, nous avons ouvert une nouvelle étape de notre développement, nous faisons maintenant partie du groupe TELUS International. Nos 50 000 employés délivrent les meilleurs services clients dans plus de 50 langues pour des partenaires internationaux et de renom.
On se trouve:
CCC d.o.o. Sarajevo a member of TELUS International Group
Trg međunarodnog prijateljstva bb
71000 Sarajevo, Bosnie-Herzégovine
+387 33 876 543","Mjesto rada: Sarajevo
Zaposlenje: Puno radno vrijeme
Broj izvršilaca: 2
Moguć rad od kuće (remote): Ne
Plata od: 1800 KM (netto)
Oglas objavljen: 07.06.2024. u 07:56
Oglas ističe: 08.07.2024. u 23:59",Conseiller client (m/f/n) pour AXA - Francaise
127,Vozač - dostavljač (m/ž),"Vozač - dostavljač (C kategorija)
Opis polsova:
Dostava robe na adresu kupca
Briga o ispravnosti i urednosti vozila ( ukazivanje na kvar, čistoća vozila)
Ostali zadaci po nalogu nadređenog
Uslovi:
SSS minimalno
Posjedovanje vozačke dozvole  C kategorije
Poznavanje transportnih procesa
Sposobnog prilagođavanja timskom radu
Vaše prijave možete poslati putem opcije: ""Prijavite se na oglas"".","Mjesto rada: Sarajevo
Zaposlenje: Puno radno vrijeme
Broj izvršilaca: 1
Moguć rad od kuće (remote): Ne
Oglas objavljen: 06.06.2024. u 16:01
Oglas ističe: 07.07.2024. u 23:59",Vozač - dostavljač
128,Organizator transporta (m/ž),"Firma T&L d.o.o.,  zbog proširenja svojih aktivnosti u Bosni i Hercegovini raspisuje oglas za prijem u radni odnos dodatnih budućih članova našeg tima na poslovima organizatora/dispečera u transportu.
Opis posla:
Prezentacija naših usluga postojećim i potencijalnim novim klijentima
Održavanje kontakata i poslovnih odnosa sa postojećim klijntima
Pregovaranje i dogovaranje transporta sa klijentima
Organizacija transporta pošiljki (unošenje naloga u app, praćenje, rješavanje problema, fakturisanje itd.)
Opšti uslovi:
Poželjno radno iskustvo, ali ne i nužno na sličnim ili istim poslovima, iskustvo u prodaji SSS, VSS
Poznavanje rada na računaru, osnovna informatička pismenost (Word Excel, mail...)
Vještine potrebne za obavljanje posla:
Poznavanje engleskog jezika
Samoincijativnost, samostalnost, pregovaračke sposobnosti, rad pod pritiskom rokova, organizacijske vještine
Nudimo Vam:
Radni odnos sa svim pravima i obavezama po Zakonu o radu i internim pravilima
redovna primanja, koja su stimulativna (plaća zadnji radni dan u mjesecu za tekući mjesec)
radno vrijeme od 8-16h uz obavezu dostupnosti 24h/7dana
rast plate proporcionalno rezultatima rada
Ugovor na određeno/neodređeno uz probni rad 3-6 mjeseci
Nudimo rad u ugodnoj atmosferi sa vrlo dobrim međuljudskim odnosima i obavezom da te odnose održavate
zavisno od kandidata, stupanje u radni odnos 01.07.2024. ili najkasnije 01.08.2024.
Lokacija rada: Sarajevo
Konkurs ostaje otvoren do popunjavanja otvorenih pozicija, a maksimalno 30 dana od dana objave. Na oglas se možete prijaviti putem opcije ""Prijavite se na oglas""","Mjesto rada: Sarajevo
Zaposlenje: Puno radno vrijeme
Broj izvršilaca: 2
Moguć rad od kuće (remote): Ne
Oglas objavljen: 06.06.2024. u 15:55
Oglas ističe: 07.07.2024. u 23:59",Organizator transporta
129,Farmacetski tehničar / magistar farmacije (m/ž),"Ljekarnička zdravstvena Ustanova BIOPHARM Neum, Neretvanska br. 1, raspisuje natječaj za radno mjesto:
  Farmacetski tehničar / magistar farmacije (m/ž)  - 2 izvršioca
Lokacija rada: Neum
  Uslovi:
Obavezno radno iskustvo od minimalno 2 godine
  Nudimo:
Očekuje Vas stabilno, pozitivno i stimulativno radno okruženje
Osiguran smještaj u Neumu
Vaše prijeve možete poslati putem opcije: ""Prijavite se na oglas"".
Za sve dodatne informacije kontaktirajte nas na telefon + 387 39 200 534
www.biopharm.ba ","Mjesto rada: Neum
Zaposlenje: Puno radno vrijeme
Broj izvršilaca: 2
Moguć rad od kuće (remote): Ne
Oglas objavljen: 06.06.2024. u 15:05
Oglas ističe: 07.07.2024. u 23:59",Farmacetski tehničar / magistar farmacije
130,Projektant elektroinstalacija (m/ž),"Projektanti elektroinstalacija (m/ž) – 2 izvršioca
1 (jedan) projektant za sisteme jake struje
1 (jedan) projektant za sisteme slabe struje
  Opis poslova, obaveze i odgovornosti:
Projektovanje električnih instalacija u građevinarstvu i industriji: 
Izrada idejnih, glavnih i izvedbenih projekata instalacija jake i slabe struje
Izrada i revizija tehničke dokumentacije 
Izrada detaljnih tehničkih specifikacija i troškovnika
Rad u timu i uska saradnja sa ostalim strukama pri izradi projekta (arhitektura, mašinstvo, građevina) 
Pored opštih uslova za zasnivanje radnog odnosa propisanih Zakonom, kandidati moraju ispunjavati i posebne uslove za radno mjesto i to:
VSS, diplomirani inžinjer elektrotehnike – energetika, automatika-elektronika, ili telekomunikacije
Minimalno 2 godine radnog iskustva u projektovanju i/ili nazdoru nad izvođenjem radova, poželjno 5 i više
Poznavanje rada sa MS Office aplikacijama
Poznavanje rada s Autodesk programima (AutoCAD), E PLAN, Dialux
Prednost: položen stručni ispit
Prednost: iskustvo na projektima putne infrastrukture (autoceste, brze ceste, tuneli…)
Prednost: znanje engleskog jezika
Nudimo Vam: 
rad u dinamičnom, potentnom, otvorenom i kreativnom radnom okruženju
mogućnost rada na internacionalnim projektima
profesionalno usavršavanje i napredovanje
  Uz Prijavu i Motivacijsko pismo dostaviti CV, te ostalu dokumentaciju koja dokazuje osposobljenost kandidata za oglašeno radno mjesto.
Vaše prijave možete poslati putem opcije: ""Prijavite se na oglas"".
Napomena: Samo kandidati/kandidatkinje koji uđu u uži izbor bit će kontaktirani. Prijave kandidata/kandidatkinja koji ne ispunjavaju uvjete iz oglasa neće biti uzeti u obzir. Slanjem prijave kandidati pristaju na upotrebu i pohranjivanje ličnih podataka u svrhu selekcijskog postupka. ","Mjesto rada: Sarajevo
Zaposlenje: Puno radno vrijeme
Broj izvršilaca: 2
Moguć rad od kuće (remote): Povremeno
Oglas objavljen: 06.06.2024. u 14:26
Oglas ističe: 07.07.2024. u 14:26",Projektant elektroinstalacija
131,Projekt menadžer (m/ž),"Opis poslova:
Komunikacija sa kupcima u prodajnom salonu
Vođenje računa o izgledu prodajnog salona
Dogovaranje narudžbi sa kupcima
Izdavanje računa u salonu
Prezentacija proizvoda kupcima prilikom posjete salonu, te maksimalna posvećenost prodaji i distribuciji proizvoda
Organizacija i praćenje isporuka kupcima
Vršenje nadzora prilikom izrade i primopredaje projekata
Redovno izvještavanje o planiranim aktivnostima
Kandidati moraju ispunjavati slijedeće opće uslove:
Državljanin Bosne i Hercegovine
Stariji od 18 godina
Zdravstevno sposoban za obavljanje poslova predviđenih za radno mjesto na koje konkuriše
Posebni uslovi:
Pored utvrđenih općih uslova kandidati moraju ispunjavati i slijedeće posebne uslove:
SSS, tehničkog ili ekonomskog smjera
Poželjno radno iskustvo ( minimalno 1 godina) na poslovima direktne prodaje
Potrebno aktivno poznavanje jednog ili više stranih jezika - engleski jezik u govoru i pismu prednost
Potrebno aktivno poznavanje Microsoft Office paketa i njegovo korištenje
Vozačka dozvola B kategorije
  Prijave dostavite putem opcije: ""Prijavite se na oglas"" ili na kontakt broj 387 62 440 650.","Mjesto rada: Sarajevo
Zaposlenje: Puno radno vrijeme
Broj izvršilaca: 1
Moguć rad od kuće (remote): Ne
Oglas objavljen: 06.06.2024. u 14:20
Oglas ističe: 07.07.2024. u 23:59",Projekt menadžer
132,Administrator u servisu / prodaji (m/ž),"Schindler je sinonim za mobilnost. Mobilnosti su potrebni eksperti. 
Grupacija Schindler osnovana je 1874. godine u Švicarskoj i spada u vodeće dobavljače liftova, pokretnih stepenica i srodnih usluga. Schindler-ova rješenja mobilnosti svakoga dana pokreću milijardu ljudi širom svijeta. Iza uspjeha kompanije stoji preko 65.000 zaposlenika koji rade u više od 100 zemalja.
Administrator u servisu/prodaji (m/ž)
Mjesto rada: Sarajevo, Bosna i Hercegovina
Vrijeme rada: 1 godina
1 izvršilac
Schindler traga za motiviranom osobom, koja želi biti dio uspješne internacionalne kompanije i svojim stručnim i posvećenim radom doprinijeti njenim još boljim rezultatima. Glavna odgovornost osobe koja će raditi kao administrator u odjeljenju servisa bit će izdavanje izlaznih računa strankama na osnovu radnih naloga servisera, administriranje baze podataka o klijentima i održavanoj opremi, kao i komunikacija sa klijentima.
Mobilnost treba TEBE. Ovo su tvoji glavni izazovi:
Prijem i evidencija dojava o kvarovima na liftovima, komunikacija istih prema serviserima i davanje povratne informacije kupcima
Izrada ponuda za popravke
Izrada ponuda za ugovore o održavanju i sveukupna dokumentacija
Administriranje baza podataka o klijentima, ugovorenim obavezama, kao i o održavanoj opremi
Briga za ažuriranje ugovorenih mjesečnih promjena cijena i njihove korekcije u izlaznim računima
Administracija u vezi sa nabavkom rezervnih dijelova, uvozom i logistikom
Izrada izlaznih mjesečnih računa servisa i popravke
Izrada izvještaja o mjesečnom ostvarenom rezultatu
Učešće u naplati dospjelih potraživanja u servisu
Koje uvjete je potrebno ispuniti?
Minimum SSS ekonomskog smjera; VŠS/VSS istog usmjerenja će se smatrati prednošću
Aktivno znanje engleskog jezika
Poznavanje rada na računaru i informacionih tehnologija – Microsoft Office paket, Microsoft Dynamics
Odlične komunikacione vještine
Samoinicijativnost, tačnost, organizovanost i usmjerenost na rješavanje problema
Fleksibilnost i fokus na interne i eksterne kupce
Razvijene analitičke vještine i orijentisanost na detalje
Iskustvo na sličnim pozicijama će se smatrati prednošću
Što je još potrebno znati?
Ova pozicija je sjajna mogućnost da se priključiš ambicioznoj internacionalnoj kompaniji koja nudi dobre uslove za rad i razvoj. Radeći na ovoj poziciji, surađivat ćeš mnogo sa kolegama iz regiona i dobiti priliku za sagledavanje šire slike poslovanja, te mogućnost da svoje znanje proširiš i kroz neki od regionalnih projekata
Ako smatraš da imaš ono što nam je potrebno, radujemo se upoznavanju sa tobom!
Vaše prijave možete poslati putem opcije: ""Prijavite se na oglas"".
Rok za prijave do popunjavanja radnog mjesta ili najkasnije do 24.06.2024..
Kontaktirat ćemo samo kandidate koji uđu u uži izbor.","Mjesto rada: Sarajevo
Zaposlenje: Puno radno vrijeme
Broj izvršilaca: 1
Moguć rad od kuće (remote): Ne
Oglas objavljen: 06.06.2024. u 14:11
Oglas ističe: 24.06.2024. u 23:59",Administrator u servisu / prodaji
